study_id,authors,year,country,sample_size_total,sample_size_control,sample_size_experimental,education_stage,intervention_type,intervention_duration,ai_type,dependent_variable,test_used,results_direction,mean_pre_control,sd_pre_control,mean_post_control,sd_post_control,mean_pre_experimental,sd_pre_experimental,mean_post_experimental,sd_post_experimental
A08.3,"Alneyadi, S., & Wardat, Y. (2023)",,阿拉伯联合酋长国,122,64,58,,指导学生在需要课程内容辅助时使用ChatGPT,,,前/后测（25项选择题）,专家评审,,2.12,11.43,2.11,,11.92,2.17,16.31,2.97
A08.4,"Alneyadi, S., & Wardat, Y. (2023)",,阿拉伯联合酋长国,122,64,58,,指导学生在需要课程内容辅助时使用ChatGPT,,,前/后测（25项选择题）,专家评审,,5.72,61.95,5.43,,59.62,5.68,67.49,5.69
A09.1,"Mykytiuk, S., et al. (2025)",,乌克兰,114,56,58,,学生使用结构化的AI辅助方法创建自己的数字多媒体内容（信息图、海报、视频）,,,前/后测,NR,,0.7,7.2,0.727,-3.15,6.8,0.69,7.6,0.632
A09.2,"Mykytiuk, S., et al. (2025)",,乌克兰,114,56,58,,学生使用结构化的AI辅助方法创建自己的数字多媒体内容（信息图、海报、视频）,,,前/后测,NR,,0.71,22.9,0.685,-2.033,22.2,0.69,23.1,0.684
A09.3,"Mykytiuk, S., et al. (2025)",,乌克兰,114,56,58,,学生使用结构化的AI辅助方法创建自己的数字多媒体内容（信息图、海报、视频）,,,前/后测,NR,,0.68,13.6,0.725,-2.19,13.3,0.67,13.9,0.739
A09.4,"Mykytiuk, S., et al. (2025)",,乌克兰,114,56,58,,学生使用结构化的AI辅助方法创建自己的数字多媒体内容（信息图、海报、视频）,,,前/后测,NR,,0.65,13.8,0.681,-2.308,13.1,0.64,14.1,0.711
A09.5,"Mykytiuk, S., et al. (2025)",,乌克兰,114,56,58,,学生使用结构化的AI辅助方法创建自己的数字多媒体内容（信息图、海报、视频）,,,前/后测,NR,,0.6,13.3,0.622,-5.085,12.9,0.61,13.8,0.638
A10.1,"Tracy, K., & Spantidi, O. (2025)",,美国,52,26,26,,在VR课堂中，除了预设的虚拟教师外，增加一个由GPT驱动的AI助教，学生可以自由提问。,,,知识保留,冒泡排序算法测验,,,,2.88,1.77,,,2.5,1.63
A10.2,"Tracy, K., & Spantidi, O. (2025)",,美国,52,26,26,,在VR课堂中，除了预设的虚拟教师外，增加一个由GPT驱动的AI助教，学生可以自由提问。,,,认知负荷,认知负荷量表,,,,,,,,,
A10.3,"Tracy, K., & Spantidi, O. (2025)",,美国,52,26,26,,在VR课堂中，除了预设的虚拟教师外，增加一个由GPT驱动的AI助教，学生可以自由提问。,,,认知负荷,认知负荷量表,,,,,,,,,
A10.4,"Tracy, K., & Spantidi, O. (2025)",,美国,52,26,26,,在VR课堂中，除了预设的虚拟教师外，增加一个由GPT驱动的AI助教，学生可以自由提问。,,,认知负荷,认知负荷量表,,,,,,,,,
A10.5,"Tracy, K., & Spantidi, O. (2025)",,美国,52,26,26,,在VR课堂中，除了预设的虚拟教师外，增加一个由GPT驱动的AI助教，学生可以自由提问。,,,参与度,Likert量表问卷,,,,,,,,,
A11.1,"Varas, J., Belmar, F., Fuentes, J., et al. (2024)",,智利,103,60,43,,两次20分钟的无监督模拟训练，通过在线平台接收远程异步反馈。,,,临床操作技能,OSATS量表,,,,,,,,,
A11.2,"Varas, J., Belmar, F., Fuentes, J., et al. (2024)",,智利,103,60,43,,两次20分钟的无监督模拟训练，通过在线平台接收远程异步反馈。,,,临床操作技能,OSATS量表,,,,,,,,,
A12.1,"Alneyadi, S., & Wardat, Y. (2024)",,阿联酋,112,57,55,,使用ChatGPT辅助的教学活动。,,,学生学业成就,量子理论测试,,8.46,1.68,10.63,1.79,8.99,1.9,15.55,2.55
A12.2,"Alneyadi, S., & Wardat, Y. (2024)",,阿联酋,112,57,55,,使用ChatGPT辅助的教学活动。,,,学生学业成就,量子理论测试,,15.33,2.91,16.89,2.86,17.93,2.89,25.49,3.77
A12.3,"Alneyadi, S., & Wardat, Y. (2024)",,阿联酋,112,57,55,,使用ChatGPT辅助的教学活动。,,,学生学业成就,量子理论测试,,9.62,2.15,11.73,2.99,12.82,2.39,17.51,3.71
A12.4,"Alneyadi, S., & Wardat, Y. (2024)",,阿联酋,112,57,55,,使用ChatGPT辅助的教学活动。,,,学生学业成就,量子理论测试,,57.52,5.62,61.98,5.66,59.74,5.98,68.55,5.89
A13.1,"Vicente, L., Matute, H., Fregosi, C., & Cabitza, F. (2025)",,西班牙,86,43,43,,在一个模拟的组织样本分类任务中，由一个在特定类型案例上会犯系统性错误的AI系统提供诊断建议。,,,决策准确性,研究者设计的分类任务,,,,0.01,,,,0.26,
A14.1,"Beltozar-Clemente, S., & Díaz-Vega, E. (2024)",,秘鲁,188,90,98,,教师准备提示词，学生使用ChatGPT进行研究并撰写短文；使用Monster Quiz和Kahoot进行游戏化教学。,,,学业成绩,标准化评估,,,,13.52,3.84,,,15.48,4.35
A14.2,"Beltozar-Clemente, S., & Díaz-Vega, E. (2024)",,秘鲁,188,90,98,,教师准备提示词，学生使用ChatGPT进行研究并撰写短文；使用Monster Quiz和Kahoot进行游戏化教学。,,,学业成绩,标准化评估,,,,14.03,3.28,,,17.67,3.14
A15.1,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,中国,60,20,20,,使用ChatGPT生成设计概念，Midjourney创建故事板和视觉图像，Runwayml进行视频编辑。,,,建筑知识,江南传统建筑认知量表,,1.35,0.59,1.5,0.69,1.25,0.72,1.5,0.89
A15.2,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,中国,60,20,20,,使用ChatGPT生成设计概念，Midjourney创建故事板和视觉图像，Runwayml进行视频编辑。,,,建筑设计,设计思维量表,,1.8,0.89,1.95,1.0,2.7,1.03,3.1,1.07
A15.3,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,中国,60,20,20,,使用ChatGPT生成设计概念，Midjourney创建故事板和视觉图像，Runwayml进行视频编辑。,,,建筑设计,设计思维量表,,1.8,1.06,1.85,1.09,2.45,0.89,2.9,0.91
A15.4,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,中国,60,20,20,,使用ChatGPT生成设计概念，Midjourney创建故事板和视觉图像，Runwayml进行视频编辑。,,,建筑计算,计算思维量表,,2.15,0.99,2.3,1.03,2.75,0.97,3.15,0.99
A15.5,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,中国,60,20,20,,使用ChatGPT生成设计概念，Midjourney创建故事板和视觉图像，Runwayml进行视频编辑。,,,建筑学习,学习效果评估问卷,,,,1.7,0.8,,,2.7,1.13
A15.6,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,中国,60,20,20,,使用ChatGPT生成设计概念，Midjourney创建故事板和视觉图像，Runwayml进行视频编辑。,,,建筑学习,学习效果评估问卷,,,,1.7,1.08,,,2.85,1.23
A16.1,"Svendsen, K., Askar, M., Umer, D., & Halvorsen, K. H. (2024)",,挪威,31,16,15,,允许使用所有学习工具以及ChatGPT进行45分钟的学习。,,,药学知识,研究者自编知识测试（12分制）,,4.6,1.9,5.9,2.5,5.4,2.0,7.7,2.0
A17.1,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,基于生成式AI（GAI）的个性化教学路径、智能教学资源和互动学习体验。,,,学习成果,研究者自编测试,,,,78.5,,,,85.2,
A17.10,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,参与传统的、非交互式的动画教学。,,,专门的评估测试,NR,,,74.1,1.12,30.0,,85.6,0.92,30.0
A17.11,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,参与传统的、非交互式的动画教学。,,,专门的评估测试,NR,,,70.3,1.17,30.0,,81.2,1.07,30.0
A17.2,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,基于生成式AI（GAI）的个性化教学路径、智能教学资源和互动学习体验。,,,学习成果,研究者自编测试,,,,72.1,,,,81.4,
A17.3,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,基于生成式AI（GAI）的个性化教学路径、智能教学资源和互动学习体验。,,,创作质量,标准化评估,,,,76.4,,,,84.2,
A17.4,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,基于生成式AI（GAI）的个性化教学路径、智能教学资源和互动学习体验。,,,团队合作能力,专业评估测试,,,,74.1,,,,85.6,
A17.5,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,基于生成式AI（GAI）的个性化教学路径、智能教学资源和互动学习体验。,,,问题解决能力,专业评估测试,,,,70.3,,,,81.2,
A17.6,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,接受传统的、统一的动画教学路径。,,,基础知识测试,NR,,,78.5,1.07,50.0,,85.2,0.82,50.0
A17.7,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,接受传统的、统一的动画教学路径。,,,应用能力测试,NR,,,72.1,,60.0,,81.4,,60.0
A17.8,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,使用传统的教学资源。,,,作品评估,NR,,,76.4,1.07,30.0,,84.2,1.07,30.0
A17.9,"Yao, X., Zhong, Y., & Cao, W. (2025)",,中国,120,60,60,,使用传统的教学资源。,,,作品评估,NR,,,5.2,0.1,30.0,,4.1,0.1,30.0
A18.1,"Saatçi, G., Korkut, S., & Ünsal, A. (2024)",,土耳其,180,89,91,,仅使用书籍、期刊和网站等辅助工具来准备患者教育材料。,,,患者教育材料评估,A01_Understandability,,,,57.57,16.19,,,75.36,12.24
A18.2,"Saatçi, G., Korkut, S., & Ünsal, A. (2024)",,土耳其,180,89,91,,仅使用书籍、期刊和网站等辅助工具来准备患者教育材料。,,,患者教育材料评估,A01_Actionability,,,,17.56,24.92,,,34.71,23.46
A18.3,"Saatçi, G., Korkut, S., & Ünsal, A. (2024)",,土耳其,180,89,91,,仅使用书籍、期刊和网站等辅助工具来准备患者教育材料。,,,患者教育材料评估,A01_Quality,,,,2.23,0.92,,,3.65,0.8
A19.1,"Eltahir, M. E., & Babiker, F. M. E. (2024)",,阿联酋,110,55,55,,在Moodle平台上使用AI驱动的工具（如GPT-3聊天机器人、Kahoot!、Studiosity）进行教学。,,,学业表现,研究者自编成就测试,,12.54,1.85,15.31,1.53,12.59,1.83,18.32,1.21
A19.2,"Eltahir, M. E., & Babiker, F. M. E. (2024)",,阿联酋,110,55,55,,在Moodle平台上使用AI驱动的工具（如GPT-3聊天机器人、Kahoot!、Studiosity）进行教学。,,,批判性思维,论文评估量规（Rubric）,,,,3.03,1.03,,,3.56,0.71
A19.3,"Eltahir, M. E., & Babiker, F. M. E. (2024)",,阿联酋,110,55,55,,在Moodle平台上使用AI驱动的工具（如GPT-3聊天机器人、Kahoot!、Studiosity）进行教学。,,,动机,Likert量表问卷,,,,,,,,4.51,1.034
A19.4,"Eltahir, M. E., & Babiker, F. M. E. (2024)",,阿联酋,110,55,55,,在Moodle平台上使用AI驱动的工具（如GPT-3聊天机器人、Kahoot!、Studiosity）进行教学。,,,参与度,Likert量表问卷,,,,,,,,4.46,0.902
A20.1,"Abdulla, S., Ismail, S., Fawzy, Y., & Elhaj, A. (2024)",,阿曼,26,13,13,,不允许使用ChatGPT，仅使用传统教学方法。,,,课堂测验1分数,A03_Exam1,,,,58.08,12.02,,,78.85,12.75
A20.2,"Abdulla, S., Ismail, S., Fawzy, Y., & Elhaj, A. (2024)",,阿曼,26,13,13,,不允许使用ChatGPT，仅使用传统教学方法。,,,课堂测验2分数,A03_Exam2,,,,63.85,15.95,,,62.31,11.2
A20.3,"Abdulla, S., Ismail, S., Fawzy, Y., & Elhaj, A. (2024)",,阿曼,26,13,13,,不允许使用ChatGPT，仅使用传统教学方法。,,,实验作业1分数,A03_Lab1,,,,69.23,7.3,,,80.77,9.17
A20.4,"Abdulla, S., Ismail, S., Fawzy, Y., & Elhaj, A. (2024)",,阿曼,26,13,13,,不允许使用ChatGPT，仅使用传统教学方法。,,,实验作业2分数,A03_Lab2,,,,76.92,7.22,,,84.62,6.34
A21.1,"Hanshaw, G., Vance, J., & Brewer, C. (2024)",,美国,92,40,52,,学生可使用由Nectir.io开发的AI课程助手，该助手采用苏格拉底式方法进行学习,,,课程成绩记录,NR,,,2.765,1.399,,,,3.34,1.093
A21.2,"Hanshaw, G., Vance, J., & Brewer, C. (2024)",,美国,92,40,52,,学生可使用由Nectir.io开发的AI课程助手，该助手采用苏格拉底式方法进行学习,,,课程成绩记录,NR,,,77.893,25.512,,,,88.269,14.735
A21.3,"Hanshaw, G., Vance, J., & Brewer, C. (2024)",,美国,92,40,52,,学生可使用由Nectir.io开发的AI课程助手，该助手采用苏格拉底式方法进行学习,,,修改版MSLQ问卷,已建立,,,,,,,,,
A21.4,"Hanshaw, G., Vance, J., & Brewer, C. (2024)",,美国,92,40,52,,学生可使用由Nectir.io开发的AI课程助手，该助手采用苏格拉底式方法进行学习,,,修改版GSE量表,已建立,,,3.77,,,,,4.3,
