study_id,authors,year,country,sample_size_total,sample_size_control,sample_size_experimental,education_stage,intervention_type,intervention_duration,ai_type,dependent_variable,test_used,results_direction,mean_pre_control,sd_pre_control,mean_post_control,sd_post_control,mean_pre_experimental,sd_pre_experimental,mean_post_experimental,sd_post_experimental
A14.1,"Beltozar-Clemente, S., & Díaz-Vega, E. (2024)",,Peru,188,90,98,,"Teachers prepare prompts, students use ChatGPT to research and write essays; using Monster Quiz and Kahoot for gamification.",,,Academic Achievement,Standardized Assessment,,,,13.52,3.84,,,15.48,4.35
A14.2,"Beltozar-Clemente, S., & Díaz-Vega, E. (2024)",,Peru,188,90,98,,"Teachers prepare prompts, students use ChatGPT to research and write essays; using Monster Quiz and Kahoot for gamification.",,,Academic Achievement,Standardized Assessment,,,,14.03,3.28,,,17.67,3.14
A15.1,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,China,60,20,20,,"Using ChatGPT to generate design concepts, Midjourney to create storyboards and visual images, and Runwayml for video editing.",,,Architecture Knowledge,Jiangnan Traditional Architecture Cognitive Scale,,1.35,0.59,1.5,0.69,1.25,0.72,1.5,0.89
A15.2,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,China,60,20,20,,"Using ChatGPT to generate design concepts, Midjourney to create storyboards and visual images, and Runwayml for video editing.",,,Architecture Design,Design Thinking Scale,,1.8,0.89,1.95,1,2.7,1.03,3.1,1.07
A15.3,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,China,60,20,20,,"Using ChatGPT to generate design concepts, Midjourney to create storyboards and visual images, and Runwayml for video editing.",,,Architecture Design,Design Thinking Scale,,1.8,1.06,1.85,1.09,2.45,0.89,2.9,0.91
A15.4,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,China,60,20,20,,"Using ChatGPT to generate design concepts, Midjourney to create storyboards and visual images, and Runwayml for video editing.",,,Architecture Computation,Computational Thinking Scale,,2.15,0.99,2.3,1.03,2.75,0.97,3.15,0.99
A15.5,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,China,60,20,20,,"Using ChatGPT to generate design concepts, Midjourney to create storyboards and visual images, and Runwayml for video editing.",,,Architecture Learning,Learning Effectiveness Assessment Questionnaire,,,,1.7,0.8,,,2.7,1.13
A15.6,"Cao, Y., Gao, X., Yin, H., Yu, K., & Zhou, D. (2024)",,China,60,20,20,,"Using ChatGPT to generate design concepts, Midjourney to create storyboards and visual images, and Runwayml for video editing.",,,Architecture Learning,Learning Effectiveness Assessment Questionnaire,,,,1.7,1.08,,,2.85,1.23
A16.1,"Svendsen, K., Askar, M., Umer, D., & Halvorsen, K. H. (2024)",,Norway,31,16,15,,Allowed to use all learning tools along with ChatGPT for 45 minutes.,,,Pharmacy Knowledge,Researcher-developed knowledge test (12-point scale),,4.6,1.9,5.9,2.5,5.4,2,7.7,2
A17.1,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,"Personalized teaching paths, intelligent teaching resources, and interactive learning experiences based on generative AI.",,,Learning Outcomes,Researcher-developed test,,,,78.5,,,,85.2,
A17.10,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,"Participating in traditional, non-interactive animation teaching.",,,Specialized Assessment Test,NR,,,74.1,1.12,30,,85.6,0.92,30
A17.11,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,"Participating in traditional, non-interactive animation teaching.",,,Specialized Assessment Test,NR,,,70.3,1.17,30,,81.2,1.07,30
A17.2,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,"Personalized teaching paths, intelligent teaching resources, and interactive learning experiences based on generative AI.",,,Learning Outcomes,Researcher-developed test,,,,72.1,,,,81.4,
A17.3,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,"Personalized teaching paths, intelligent teaching resources, and interactive learning experiences based on generative AI.",,,Creation Quality,Standardized Assessment,,,,76.4,,,,84.2,
A17.4,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,"Personalized teaching paths, intelligent teaching resources, and interactive learning experiences based on generative AI.",,,Teamwork Ability,Professional Assessment Test,,,,74.1,,,,85.6,
A17.5,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,"Personalized teaching paths, intelligent teaching resources, and interactive learning experiences based on generative AI.",,,Problem Solving Ability,Professional Assessment Test,,,,70.3,,,,81.2,
A17.6,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,"Receiving traditional, unified animation teaching paths.",,,Basic Knowledge Test,NR,,,78.5,1.07,50,,85.2,0.82,50
A17.7,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,"Receiving traditional, unified animation teaching paths.",,,Application Ability Test,NR,,,72.1,,60,,81.4,,60
A17.8,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,Using traditional teaching resources.,,,Work Assessment,NR,,,76.4,1.07,30,,84.2,1.07,30
A17.9,"Yao, X., Zhong, Y., & Cao, W. (2025)",,China,120,60,60,,Using traditional teaching resources.,,,Work Assessment,NR,,,5.2,0.1,30,,4.1,0.1,30
A18.1,"Saatçi, G., Korkut, S., & Ünsal, A. (2024)",,Turkey,180,89,91,,"Using only supplementary tools such as books, journals, and websites to prepare patient education materials.",,,Patient Education Material Assessment,A01_Understandability,,,,57.57,16.19,,,75.36,12.24
A18.2,"Saatçi, G., Korkut, S., & Ünsal, A. (2024)",,Turkey,180,89,91,,"Using only supplementary tools such as books, journals, and websites to prepare patient education materials.",,,Patient Education Material Assessment,A01_Actionability,,,,17.56,24.92,,,34.71,23.46
A18.3,"Saatçi, G., Korkut, S., & Ünsal, A. (2024)",,Turkey,180,89,91,,"Using only supplementary tools such as books, journals, and websites to prepare patient education materials.",,,Patient Education Material Assessment,A01_Quality,,,,2.23,0.92,,,3.65,0.8
A19.1,"Eltahir, M. E., & Babiker, F. M. E. (2024)",,UAE,110,55,55,,"Teaching using AI-driven tools (e.g., GPT-3 chatbot, Kahoot!, Studiosity) on Moodle platform.",,,Academic Performance,Researcher-developed achievement test,,12.54,1.85,15.31,1.53,12.59,1.83,18.32,1.21
A19.2,"Eltahir, M. E., & Babiker, F. M. E. (2024)",,UAE,110,55,55,,"Teaching using AI-driven tools (e.g., GPT-3 chatbot, Kahoot!, Studiosity) on Moodle platform.",,,Critical Thinking,Essay Evaluation Rubric,,,,3.03,1.03,,,3.56,0.71
A19.3,"Eltahir, M. E., & Babiker, F. M. E. (2024)",,UAE,110,55,55,,"Teaching using AI-driven tools (e.g., GPT-3 chatbot, Kahoot!, Studiosity) on Moodle platform.",,,Motivation,Likert Scale Questionnaire,,,,,,,,4.51,1.034
A19.4,"Eltahir, M. E., & Babiker, F. M. E. (2024)",,UAE,110,55,55,,"Teaching using AI-driven tools (e.g., GPT-3 chatbot, Kahoot!, Studiosity) on Moodle platform.",,,Engagement,Likert Scale Questionnaire,,,,,,,,4.46,0.902
A20.1,"Abdulla, S., Ismail, S., Fawzy, Y., & Elhaj, A. (2024)",,Oman,26,13,13,,"ChatGPT is not allowed, using only traditional teaching methods.",,,Class Quiz 1 Score,A03_Exam1,,,,58.08,12.02,,,78.85,12.75
A20.2,"Abdulla, S., Ismail, S., Fawzy, Y., & Elhaj, A. (2024)",,Oman,26,13,13,,"ChatGPT is not allowed, using only traditional teaching methods.",,,Class Quiz 2 Score,A03_Exam2,,,,63.85,15.95,,,62.31,11.2
A20.3,"Abdulla, S., Ismail, S., Fawzy, Y., & Elhaj, A. (2024)",,Oman,26,13,13,,"ChatGPT is not allowed, using only traditional teaching methods.",,,Lab Assignment 1 Score,A03_Lab1,,,,69.23,7.3,,,80.77,9.17
A20.4,"Abdulla, S., Ismail, S., Fawzy, Y., & Elhaj, A. (2024)",,Oman,26,13,13,,"ChatGPT is not allowed, using only traditional teaching methods.",,,Lab Assignment 2 Score,A03_Lab2,,,,76.92,7.22,,,84.62,6.34
A21.1,"Hanshaw, G., Vance, J., & Brewer, C. (2024)",,USA,92,40,52,,"Students use an AI course assistant developed by Nectir.io, adopting a Socratic learning method",,,Course Grade Record,NR,,,2.765,1.399,,,,3.34,1.093
A21.2,"Hanshaw, G., Vance, J., & Brewer, C. (2024)",,USA,92,40,52,,"Students use an AI course assistant developed by Nectir.io, adopting a Socratic learning method",,,Course Grade Record,NR,,,77.893,25.512,,,,88.269,14.735
A21.3,"Hanshaw, G., Vance, J., & Brewer, C. (2024)",,USA,92,40,52,,"Students use an AI course assistant developed by Nectir.io, adopting a Socratic learning method",,,Modified MSLQ Questionnaire,Established,,,,,,,,,
A21.4,"Hanshaw, G., Vance, J., & Brewer, C. (2024)",,USA,92,40,52,,"Students use an AI course assistant developed by Nectir.io, adopting a Socratic learning method",,,Modified GSE Scale,Established,,,3.77,,,,,4.3,
